CDSCode,School,Street,StreetAbr,City,Zip,State,EILCode,Virtual,Latitude,Longitude,LastUpDate,AddrZip,SmallZip,Address
37684520126300,Vista Visions Academy,1575 Bonair Drive,1575 Bonair Dr.,Vista,92084-3572,CA,ELEMHIGH,C,33.222677,-117.21924,2020-08-13,92084,92084.0,"1575 Bonair Drive, Vista, CA, 92084"
37684520128223,Bella Mente Montessori Academy,1737 West Vista Way,1737 West Vista Way,Vista,92083-2112,CA,ELEM,N,33.189574,-117.27872,2020-08-13,92083,92083.0,"1737 West Vista Way, Vista, CA, 92083"
37684523730207,Vista Adult Transition Center,325 East Bobier Drive,325 East Bobier Dr.,Vista,92084-3027,CA,ELEMHIGH,N,33.221287,-117.24111,2020-08-13,92084,92084.0,"325 East Bobier Drive, Vista, CA, 92084"
37684523730298,Vista Adult,510 Sunset Drive,510 Sunset Dr.,Vista,92081,CA,A,N,33.187198,-117.24038,2019-09-24,92081,92081.0,"510 Sunset Drive, Vista, CA, 92081"
37684523730728,Rancho Buena Vista High,1601 Longhorn Drive,1601 Longhorn Dr.,Vista,92081-5423,CA,HS,N,33.164594,-117.24715,2020-08-13,92081,92081.0,"1601 Longhorn Drive, Vista, CA, 92081"
37684523730942,Guajome Park Academy Charter,2000 North Santa Fe Avenue,2000 North Santa Fe Ave.,Vista,92083-1534,CA,ELEMHIGH,C,33.23012,-117.24877,2019-02-13,92083,92083.0,"2000 North Santa Fe Avenue, Vista, CA, 92083"
37684523732039,Alta Vista High (Continuation),1575 Bonair Drive,1575 Bonair Dr.,Vista,92084-3572,CA,HS,N,33.222471,-117.2196,2020-08-13,92084,92084.0,"1575 Bonair Drive, Vista, CA, 92084"
37684523738705,Vista High,1 Panther Drive,1 Panther Dr.,Vista,92084-3101,CA,HS,N,33.223361,-117.2419,2020-08-13,92084,92084.0,"1 Panther Drive, Vista, CA, 92084"
37684526040588,Beaumont Elementary,550 Beaumont Drive,550 Beaumont Dr.,Vista,92084-6321,CA,ELEM,N,33.198044,-117.22481,2020-08-13,92084,92084.0,"550 Beaumont Drive, Vista, CA, 92084"
37684526040596,Bobier Elementary,220 West Bobier Drive,220 West Bobier Dr.,Vista,92083-1903,CA,ELEM,N,33.221088,-117.24761,2020-08-13,92083,92083.0,"220 West Bobier Drive, Vista, CA, 92083"
37684526040604,California Avenue Elementary,215 West California Avenue,215 West California Ave.,Vista,92083-3622,CA,ELEM,N,33.207511,-117.24664,2020-08-13,92083,92083.0,"215 West California Avenue, Vista, CA, 92083"
37684526040620,Grapevine Elementary,630 Grapevine Road,630 Grapevine Rd.,Vista,92083-5599,CA,ELEM,N,33.199834,-117.27374,2020-06-11,92083,92083.0,"630 Grapevine Road, Vista, CA, 92083"
37684526040638,Monte Vista Elementary,1720 Monte Vista Road,1720 Monte Vista Rd.,Vista,92084-7122,CA,ELEM,N,33.190319,-117.21212,2020-08-13,92084,92084.0,"1720 Monte Vista Road, Vista, CA, 92084"
37684526040653,Vista Academy of Visual and Performing Arts,600 North Santa Fe Avenue,600 North Santa Fe Ave.,Vista,92083-3631,CA,ELEM,N,33.207469,-117.24508,2020-08-13,92083,92083.0,"600 North Santa Fe Avenue, Vista, CA, 92083"
37684526059802,Rancho Minerva Middle,2245 Foothill Drive,2245 Foothill Dr.,Vista,92084-6035,CA,INTMIDJR,N,33.204318,-117.20552,2020-08-13,92084,92084.0,"2245 Foothill Drive, Vista, CA, 92084"
37684526059810,Vista Innovation and Design Academy,740 Olive Avenue,740 Olive Ave.,Vista,92083-3396,CA,INTMIDJR,N,33.204628,-117.25714,2020-08-13,92083,92083.0,"740 Olive Avenue, Vista, CA, 92083"
37684526069124,Casita Center for Science/Math/Technology,260 Cedar Drive,260 Cedar Dr.,Vista,92083-5108,CA,ELEM,N,33.191355,-117.28465,2020-08-13,92083,92083.0,"260 Cedar Drive, Vista, CA, 92083"
37684526107031,Alamosa Park Elementary,5130 Alamosa Park Drive,5130 Alamosa Park Dr.,Oceanside,92057-6301,CA,ELEM,N,33.239596,-117.28112,2020-08-13,92057,92057.0,"5130 Alamosa Park Drive, Oceanside, CA, 92057"
37684526107577,Roosevelt Middle,850 Sagewood Drive,850 Sagewood Dr.,Oceanside,92057-6937,CA,INTMIDJR,N,33.235127,-117.28067,2020-08-13,92057,92057.0,"850 Sagewood Drive, Oceanside, CA, 92057"
37684526107585,Lake Elementary,4950 Lake Boulevard,4950 Lake Blvd.,Oceanside,92056-4749,CA,ELEM,N,33.17323,-117.25791,2020-08-13,92056,92056.0,"4950 Lake Boulevard, Oceanside, CA, 92056"
37684526108708,Empresa Elementary,4850 Avenida Empresa,4850 Avenida Empresa,Oceanside,92056-6541,CA,ELEM,N,33.223041,-117.28771,2020-08-13,92056,92056.0,"4850 Avenida Empresa, Oceanside, CA, 92056"
37684526110399,Breeze Hill Elementary,1111 Melrose Way,1111 Melrose Way,Vista,92083-6505,CA,ELEM,N,33.18517,-117.25456,2020-08-13,92083,92083.0,"1111 Melrose Way, Vista, CA, 92083"
37684526110407,Mission Meadows Elementary,5657 Spur Avenue,5657 Spur Ave.,Oceanside,92056-5714,CA,ELEM,N,33.246059,-117.25806,2020-08-13,92056,92056.0,"5657 Spur Avenue, Oceanside, CA, 92056"
37684526112221,Madison Middle,4930 Lake Boulevard,4930 Lake Blvd.,Oceanside,92056-4749,CA,INTMIDJR,N,33.173316,-117.25871,2020-08-13,92056,92056.0,"4930 Lake Boulevard, Oceanside, CA, 92056"
37735283736808,San Diego Continuing Education,4343 Ocean View Boulevard,4343 Ocean View Blvd.,San Diego,92113-1915,CA,A,,32.699457,-117.10188,2016-01-30,92113,92113.0,"4343 Ocean View Boulevard, San Diego, CA, 92113"
37735510107557,Calavera Hills Middle,4104 Tamarack Avenue,4104 Tamarack Ave.,Carlsbad,92008-7101,CA,INTMIDJR,N,33.172385,-117.29083,2020-08-13,92008,92008.0,"4104 Tamarack Avenue, Carlsbad, CA, 92008"
37735510113498,Poinsettia Elementary,2445 Mica Road,2445 Mica Rd.,Carlsbad,92009-1733,CA,ELEM,N,33.1186,-117.2562,2020-08-13,92009,92009.0,"2445 Mica Road, Carlsbad, CA, 92009"
37735510127423,Sage Creek High,3900 Bobcat Boulevard,3900 Bobcat Blvd.,Carlsbad,92010-5573,CA,HS,N,33.142565,-117.24945,2020-08-13,92010,92010.0,"3900 Bobcat Boulevard, Carlsbad, CA, 92010"
37735513730017,Carlsbad Village Academy,3557 Monroe Street,3557 Monroe St.,Carlsbad,92008-2785,CA,HS,N,33.162338,-117.32762,2020-08-13,92008,92008.0,"3557 Monroe Street, Carlsbad, CA, 92008"
37735513730694,Carlsbad High,3557 Monroe Street,3557 Monroe St.,Carlsbad,92008-2729,CA,HS,N,33.162399,-117.32698,2020-08-13,92008,92008.0,"3557 Monroe Street, Carlsbad, CA, 92008"
37735513730892,Carlsbad Adult Transition,6225 El Camino Real,6225 El Camino Real,Carlsbad,92009,CA,A,N,33.122871,-117.26761,2016-10-08,92009,92009.0,"6225 El Camino Real, Carlsbad, CA, 92009"
37735513731163,Carlsbad Seaside Academy,3557 Monroe Street,3557 Monroe St.,Carlsbad,92008-2785,CA,HS,N,33.162338,-117.32762,2019-02-13,92008,92008.0,"3557 Monroe Street, Carlsbad, CA, 92008"
