,EILName,Latitude,Longitude,Address,Zipcode,"School, District",DistrictName,CumulativeEnrollment,Median family income (dollars),Mean family income (dollars),"Health insurance coverage, % of civilian pop",No health insurance for civilian pop,No health insurance coverage %,Worked at home,Population 16+,Children of the household 6-17,"Households with income $0-34,999","Households with income $35,000-99,999","Households with income $100,000+",Percent Increase,Absolute Increase Standardized,predictions
18,Intermediate/Middle/Junior High,32.648596,-117.00527,"650 Otay Lakes Road,Chula Vista,CA,91910",91910,"Bonita Vista Middle, Sweetwater Union High",Sweetwater Union High,1249.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
19,Intermediate/Middle/Junior High,32.635067,-117.08645,"415 Fifth Avenue,Chula Vista,CA,91910",91910,"Chula Vista Middle, Sweetwater Union High",Sweetwater Union High,963.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
20,Intermediate/Middle/Junior High,32.630395,-117.06408,"44 East J Street,Chula Vista,CA,91910",91910,"Hilltop Middle, Sweetwater Union High",Sweetwater Union High,1071.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
21,Intermediate/Middle/Junior High,32.630868,-117.00764,"1174 East J Street,Chula Vista,CA,91910",91910,"Rancho del Rey Middle, Sweetwater Union High",Sweetwater Union High,1841.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
22,Elementary-High Combination,32.702375,-117.15045,"1625 Newton Avenue,San Diego,CA,92113",92113,"Monarch, San Diego County Office of Education",San Diego County Office of Education,333.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
23,Elementary,32.69871,-117.09106,"4800 T Street,San Diego,CA,92113",92113,"Porter Elementary, San Diego Unified",San Diego Unified,936.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
24,High School,32.704034,-117.09196,"4777 Imperial Avenue,San Diego,CA,92113",92113,"Lincoln High, San Diego Unified",San Diego Unified,1728.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
25,Elementary,32.697615,-117.12725,"825 South 31st Street,San Diego,CA,92113",92113,"Rodriguez Elementary, San Diego Unified",San Diego Unified,514.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
26,Intermediate/Middle/Junior High,32.695466,-117.08946,"1098 South 49th Street,San Diego,CA,92113",92113,"Knox Middle, San Diego Unified",San Diego Unified,723.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
27,Elementary,32.698826,-117.10711,"4041 T Street,San Diego,CA,92113",92113,"Baker Elementary, San Diego Unified",San Diego Unified,475.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
28,Elementary,32.687014,-117.108,"1844 South 40th Street,San Diego,CA,92113",92113,"Balboa Elementary, San Diego Unified",San Diego Unified,546.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
29,Elementary,32.70044,-117.13891,"2146 Julian Avenue,San Diego,CA,92113",92113,"Burbank Elementary, San Diego Unified",San Diego Unified,555.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
30,Elementary,32.700764,-117.14913,"1770 Main Street,San Diego,CA,92113",92113,"Perkins K-8, San Diego Unified",San Diego Unified,571.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
31,Elementary,32.691605,-117.10807,"1404 South 40th Street,San Diego,CA,92113",92113,"Chavez Elementary, San Diego Unified",San Diego Unified,529.0,33842.0,43914.0,76.3,11784.0,23.7,2028.0,42375.0,10183.0,6831.0,5234.0,976.0,28.1,0.00759882005899705,1
32,Elementary-High Combination,32.769578,-117.17984,"6401 Linda Vista Road, Room 216,San Diego,CA,92111",92111,"San Diego County Community, San Diego County Office of Education",San Diego County Office of Education,1366.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
33,Elementary-High Combination,32.769409,-117.1796,"6401 Linda Vista Road, Room 409,San Diego,CA,92111",92111,"San Diego County Special Education, San Diego County Office of Education",San Diego County Office of Education,41.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
34,High School,32.798708,-117.16044,"1954 Komet Way,San Diego,CA,92111",92111,"Kearny Digital Media & Design, San Diego Unified",San Diego Unified,405.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
35,High School,32.798708,-117.16044,"1954 Komet Way,San Diego,CA,92111",92111,"Kearny College Connections, San Diego Unified",San Diego Unified,410.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
36,High School,32.798708,-117.16044,"1954 Komet Way,San Diego,CA,92111",92111,"Kearny Eng Innov & Design, San Diego Unified",San Diego Unified,348.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
37,High School,32.803695,-117.16498,"7250 Mesa College Drive, Room L-502,San Diego,CA,92111",92111,"San Diego Metro Career and Tech, San Diego Unified",San Diego Unified,150.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
38,High School,32.771471,-117.17933,"6402 Linda Vista Road,San Diego,CA,92111",92111,"Twain High, San Diego Unified",San Diego Unified,609.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
39,Elementary,32.776942,-117.17104,"6905 Kramer Street,San Diego,CA,92111",92111,"Carson Elementary, San Diego Unified",San Diego Unified,426.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
40,Elementary,32.794045,-117.16209,"7335 Wheatley Street,San Diego,CA,92111",92111,"Chesterton Elementary, San Diego Unified",San Diego Unified,501.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
41,Elementary,32.810047,-117.18916,"4902 Mount Ararat Drive,San Diego,CA,92111",92111,"Holmes Elementary, San Diego Unified",San Diego Unified,587.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
42,Elementary,32.793449,-117.17314,"2772 Ulric Street,San Diego,CA,92111",92111,"Linda Vista Elementary, San Diego Unified",San Diego Unified,385.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
43,Elementary,32.819448,-117.17152,"4133 Mount Albertine Avenue,San Diego,CA,92111",92111,"Lindbergh/Schweitzer Elementary, San Diego Unified",San Diego Unified,359.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
44,Elementary-High Combination,32.809086,-117.17936,"5650 Mount Ackerly Drive,San Diego,CA,92111",92111,"Riley/New Dawn, San Diego Unified",San Diego Unified,247.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
45,Elementary,32.811323,-117.16124,"7470 Bagdad Street,San Diego,CA,92111",92111,"Ross Elementary, San Diego Unified",San Diego Unified,229.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
46,Intermediate/Middle/Junior High,32.788093,-117.17162,"2470 Ulric Street,San Diego,CA,92111",92111,"Montgomery Middle, San Diego Unified",San Diego Unified,508.0,70293.0,88963.0,88.5,5584.0,11.5,1358.0,40536.0,6596.0,4866.0,7303.0,4788.0,34.55,0.0025656206828498125,1
47,High School,32.794147,-117.15396,"2801 Meadow Lark Drive,San Diego,CA,92123",92123,"San Diego County Court, San Diego County Office of Education",San Diego County Office of Education,1433.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
48,Elementary,32.804911,-117.14534,"8450 Hurlbut Street,San Diego,CA,92123",92123,"Angier Elementary, San Diego Unified",San Diego Unified,554.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
49,Elementary,32.801667,-117.12714,"3201 Marathon Drive,San Diego,CA,92123",92123,"Cubberley Elementary, San Diego Unified",San Diego Unified,193.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
50,Elementary,32.785778,-117.1585,"7666 Bobolink Way,San Diego,CA,92123",92123,"Fletcher Elementary, San Diego Unified",San Diego Unified,188.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
51,Elementary,32.796255,-117.14242,"2751 Greyling Drive,San Diego,CA,92123",92123,"Jones Elementary, San Diego Unified",San Diego Unified,330.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
52,Elementary,32.792242,-117.12589,"2633 Melbourne Drive,San Diego,CA,92123",92123,"Juarez Elementary, San Diego Unified",San Diego Unified,272.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
53,Elementary,32.805607,-117.1365,"3443 Ediwhar Avenue,San Diego,CA,92123",92123,"Wegeforth Elementary, San Diego Unified",San Diego Unified,245.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
54,Intermediate/Middle/Junior High,32.802346,-117.13113,"9191 Gramercy Drive,San Diego,CA,92123",92123,"Taft Middle, San Diego Unified",San Diego Unified,522.0,78598.0,98732.0,93.9,1786.0,6.1,863.0,25701.0,2740.0,2256.0,5222.0,4093.0,32.96,0.0022956305202132214,0
55,Elementary-High Combination,33.142539,-117.16504,"255 Pico Avenue, Room 220,San Marcos,CA,92069",92069,"North Coastal Consortium Schools, San Diego County Office of Education",San Diego County Office of Education,115.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
56,High School,33.147163,-117.14694,"1 Mission Hills Court,San Marcos,CA,92069",92069,"Mission Hills High, San Marcos Unified",San Marcos Unified,2704.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
57,High School,33.179778,-117.1591,"158 Cassou Road,San Marcos,CA,92069",92069,"Twin Oaks High, San Marcos Unified",San Marcos Unified,268.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
58,High School,33.180651,-117.15868,"158 Cassou Road,San Marcos,CA,92069",92069,"Foothills High, San Marcos Unified",San Marcos Unified,242.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
59,Elementary,33.154751,-117.14016,"910 Borden Road,San Marcos,CA,92069",92069,"Richland Elementary, San Marcos Unified",San Marcos Unified,807.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
60,Elementary,33.14128,-117.16829,"1 Tiger Way,San Marcos,CA,92069",92069,"San Marcos Elementary, San Marcos Unified",San Marcos Unified,813.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
61,Intermediate/Middle/Junior High,33.145673,-117.1749,"650 West Mission Road,San Marcos,CA,92069",92069,"San Marcos Middle, San Marcos Unified",San Marcos Unified,1178.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
62,Intermediate/Middle/Junior High,33.147436,-117.12958,"1270 Rock Springs Road,San Marcos,CA,92069",92069,"Woodland Park Middle, San Marcos Unified",San Marcos Unified,1432.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
63,Elementary,33.139633,-117.11971,"1825 Knob Hill Road,San Marcos,CA,92069",92069,"Knob Hill Elementary, San Marcos Unified",San Marcos Unified,867.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
64,Elementary,33.159796,-117.18482,"660 Camino Magnifico,San Marcos,CA,92069",92069,"Paloma Elementary, San Marcos Unified",San Marcos Unified,897.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
65,Elementary,33.178528,-117.15544,"1 Cassou Road,San Marcos,CA,92069",92069,"Twin Oaks Elementary, San Marcos Unified",San Marcos Unified,687.0,70828.0,90214.0,84.7,7567.0,15.3,1085.0,38302.0,7798.0,3631.0,6199.0,4616.0,44.17,0.004151219257480027,1
66,Intermediate/Middle/Junior High,32.825432,-116.77538,"2001 Tavern Road,Alpine,CA,91901",91901,"Joan MacQueen Middle, Alpine Union Elementary",Alpine Union Elementary,467.0,103026.0,116390.0,93.0,1265.0,7.0,788.0,14865.0,2459.0,1241.0,2264.0,2915.0,23.08,0.0012108980827447023,0
67,Elementary,32.8319,-116.81522,"8770 Harbison Canyon Road,Alpine,CA,91901",91901,"Shadow Hills Elementary, Alpine Union Elementary",Alpine Union Elementary,410.0,103026.0,116390.0,93.0,1265.0,7.0,788.0,14865.0,2459.0,1241.0,2264.0,2915.0,23.08,0.0012108980827447023,0
68,Elementary,32.819163,-116.77617,"2320 Tavern Road,Alpine,CA,91901",91901,"Boulder Oaks Elementary, Alpine Union Elementary",Alpine Union Elementary,360.0,103026.0,116390.0,93.0,1265.0,7.0,788.0,14865.0,2459.0,1241.0,2264.0,2915.0,23.08,0.0012108980827447023,0
69,Elementary,32.832208,-116.81507,"8770 Harbison Canyon Road,Alpine,CA,91901",91901,"Mountain View Learning Academy, Alpine Union Elementary",Alpine Union Elementary,82.0,103026.0,116390.0,93.0,1265.0,7.0,788.0,14865.0,2459.0,1241.0,2264.0,2915.0,23.08,0.0012108980827447023,0
70,Elementary,32.832208,-116.81507,"8818 Harbison Canyon Road,Alpine,CA,91901",91901,"Creekside Early Learning Center, Alpine Union Elementary",Alpine Union Elementary,293.0,103026.0,116390.0,93.0,1265.0,7.0,788.0,14865.0,2459.0,1241.0,2264.0,2915.0,23.08,0.0012108980827447023,0
71,High School,33.265514,-116.38373,"2281 Diegueno Road,Borrego Springs,CA,92004",92004,"Borrego Springs High, Borrego Springs Unified",Borrego Springs Unified,132.0,49451.0,56528.0,96.3,85.0,3.7,76.0,2111.0,150.0,569.0,561.0,95.0,6.25,0.0004737091425864519,0
72,Elementary,33.256865,-116.34685,"1315 Palm Canyon Drive,Borrego Springs,CA,92004",92004,"Borrego Springs Elementary, Borrego Springs Unified",Borrego Springs Unified,194.0,49451.0,56528.0,96.3,85.0,3.7,76.0,2111.0,150.0,569.0,561.0,95.0,6.25,0.0004737091425864519,0
73,Intermediate/Middle/Junior High,33.264682,-116.38367,"2255 Diegueno Road,Borrego Springs,CA,92004",92004,"Borrego Springs Middle, Borrego Springs Unified",Borrego Springs Unified,94.0,49451.0,56528.0,96.3,85.0,3.7,76.0,2111.0,150.0,569.0,561.0,95.0,6.25,0.0004737091425864519,0
74,Intermediate/Middle/Junior High,32.858622,-116.81938,"9669 Dunbar Lane,El Cajon,CA,92021",92021,"Los Coches Creek Middle, Cajon Valley Union",Cajon Valley Union,836.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
75,Elementary,32.807818,-116.93171,"1390 East Broadway,El Cajon,CA,92021",92021,"Bostonia Language Academy, Cajon Valley Union",Cajon Valley Union,625.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
76,Elementary,32.805538,-116.86647,"2000 Suncrest Boulevard,El Cajon,CA,92021",92021,"Crest Elementary, Cajon Valley Union",Cajon Valley Union,119.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
77,Intermediate/Middle/Junior High,32.811048,-116.92834,"1495 Greenfield Drive,El Cajon,CA,92021",92021,"Greenfield Middle, Cajon Valley Union",Cajon Valley Union,860.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
78,Elementary,32.813388,-116.95404,"650 Greenfield Drive,El Cajon,CA,92021",92021,"Magnolia Elementary, Cajon Valley Union",Cajon Valley Union,655.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
79,Elementary,32.803995,-116.94638,"1030 Naranca Avenue,El Cajon,CA,92021",92021,"Naranca Elementary, Cajon Valley Union",Cajon Valley Union,930.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
80,Elementary,32.840076,-116.87577,"14314 Rios Canyon Road,El Cajon,CA,92021",92021,"Rios Elementary, Cajon Valley Union",Cajon Valley Union,401.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
81,Elementary,32.820878,-116.93116,"1376 Pepper Drive,El Cajon,CA,92021",92021,"W. D. Hall Elementary, Cajon Valley Union",Cajon Valley Union,642.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
82,Elementary,32.861732,-116.84665,"9863 Oakmont Terrace,El Cajon,CA,92021",92021,"Blossom Valley Elementary, Cajon Valley Union",Cajon Valley Union,573.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
83,Elementary,32.807708,-116.93212,"1384 Broadway,El Cajon,CA,92021",92021,"Cajon Valley Home, Cajon Valley Union",Cajon Valley Union,133.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
84,High School,32.800133,-116.94728,"1035 East Madison Avenue,El Cajon,CA,92021",92021,"El Cajon Valley High, Grossmont Union High",Grossmont Union High,1835.0,60193.0,77874.0,89.1,7675.0,10.9,1391.0,55155.0,11560.0,7324.0,9905.0,4971.0,28.22,0.003970628229534947,1
85,Intermediate/Middle/Junior High,32.795836,-116.95489,"165 Roanoke Road,El Cajon,CA,92020",92020,"Empower, Cajon Valley Union",Cajon Valley Union,26.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
86,Elementary,32.786,-116.9478,"1005 South Anza Street,El Cajon,CA,92020",92020,"Anza Elementary, Cajon Valley Union",Cajon Valley Union,628.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
87,Intermediate/Middle/Junior High,32.798383,-116.95555,"550 Park Avenue,El Cajon,CA,92020",92020,"Cajon Valley Middle, Cajon Valley Union",Cajon Valley Union,1070.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
88,Elementary,32.780336,-116.96003,"195 East Chase Avenue,El Cajon,CA,92020",92020,"Chase Avenue Elementary, Cajon Valley Union",Cajon Valley Union,832.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
89,Intermediate/Middle/Junior High,32.778996,-116.96869,"1221 South Emerald Avenue,El Cajon,CA,92020",92020,"Emerald Middle, Cajon Valley Union",Cajon Valley Union,679.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
90,Elementary,32.811827,-116.9824,"1251 Finch Street,El Cajon,CA,92020",92020,"Flying Hills School of Arts, Cajon Valley Union",Cajon Valley Union,586.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
91,Elementary,32.762217,-116.94678,"11625 Fuerte Drive,El Cajon,CA,92020",92020,"Fuerte Elementary, Cajon Valley Union",Cajon Valley Union,696.0,58493.0,80649.0,89.0,6347.0,11.0,1410.0,45793.0,8922.0,6783.0,7889.0,4380.0,28.12,0.005066276505142708,1
