,date,age_9,age10_19,age20_29,age30_39,age40_49,age50_59,age60_69,age70_79,age80_plus,ageunknow,genderfemale,gendermale,newtests,newcases,test_positivity_rate
39,2020/04/15 08:00:00+00,12,34,316,399,362,383,286,163,129,3,1034,1047,1248,75,0.06
40,2020/04/16 08:00:00+00,13,35,327,408,373,404,297,166,131,4,1073,1081,1114,71,0.064
41,2020/04/17 08:00:00+00,16,38,340,412,381,418,302,167,135,4,1099,1110,1393,55,0.039
42,2020/04/18 08:00:00+00,17,39,344,423,389,429,312,173,138,4,1124,1140,955,55,0.058
43,2020/04/19 08:00:00+00,17,43,354,431,398,438,318,178,144,4,1149,1172,1310,57,0.044
44,2020/04/20 08:00:00+00,18,46,370,451,420,459,329,186,151,4,1185,1243,1016,109,0.107
45,2020/04/21 08:00:00+00,19,47,378,464,427,473,334,191,154,4,1214,1271,1514,57,0.038
46,2020/04/22 08:00:00+00,21,51,398,488,452,506,344,200,179,4,1284,1355,2255,152,0.067
47,2020/04/23 08:00:00+00,22,52,422,527,496,545,364,210,185,3,1377,1445,3122,183,0.059
48,2020/04/24 08:00:00+00,22,54,438,555,515,576,376,213,191,3,1445,1494,1826,117,0.064
49,2020/04/25 08:00:00+00,23,57,449,566,528,598,393,231,195,3,1489,1551,1297,100,0.077
50,2020/04/26 08:00:00+00,24,65,472,602,537,609,397,233,199,3,1537,1601,823,98,0.119
51,2020/04/27 08:00:00+00,26,74,498,629,576,632,414,247,215,3,1618,1691,2545,173,0.068
52,2020/04/28 08:00:00+00,26,81,519,642,598,649,431,259,224,3,1673,1754,1966,118,0.06
53,2020/04/29 08:00:00+00,27,89,548,671,617,665,445,266,232,4,1747,1811,2303,132,0.057
54,2020/04/30 08:00:00+00,29,96,576,699,634,694,464,271,245,3,1826,1878,2625,147,0.056
55,2020/05/01 08:00:00+00,31,101,603,716,655,722,476,281,254,3,1882,1951,2402,131,0.055
56,2020/05/02 08:00:00+00,34,107,612,732,663,739,494,286,257,3,1927,1993,2277,85,0.037
57,2020/05/03 08:00:00+00,39,112,629,751,677,751,504,291,263,3,1971,2043,1293,93,0.072
58,2020/05/04 08:00:00+00,42,119,649,785,691,784,514,300,273,3,2042,2111,2306,140,0.061
59,2020/05/05 08:00:00+00,46,132,670,814,720,803,526,315,286,7,2106,2206,2260,159,0.07
60,2020/05/06 08:00:00+00,50,139,681,832,737,827,536,326,296,5,2169,2250,3325,110,0.033
61,2020/05/07 08:00:00+00,54,148,729,878,770,865,555,339,317,7,2270,2383,3572,233,0.065
62,2020/05/08 08:00:00+00,57,152,746,902,797,882,567,344,324,5,2334,2434,3401,114,0.034
63,2020/05/09 08:00:00+00,59,160,774,933,824,902,585,355,330,4,2422,2496,3443,150,0.044
64,2020/05/10 08:00:00+00,62,165,805,960,846,928,597,357,341,4,2482,2574,2638,139,0.053
65,2020/05/11 08:00:00+00,62,168,818,978,865,951,602,367,346,4,2528,2622,2440,96,0.039
66,2020/05/12 08:00:00+00,63,171,839,1004,885,975,609,376,350,6,2589,2678,3541,117,0.033
67,2020/05/13 08:00:00+00,66,179,863,1024,901,994,621,380,357,6,2643,2737,3998,113,0.028
68,2020/05/14 08:00:00+00,68,181,895,1054,921,1013,628,391,366,6,2710,2800,4055,132,0.033
69,2020/05/15 08:00:00+00,74,189,915,1079,936,1037,640,403,384,5,2783,2867,4505,139,0.031
70,2020/05/16 08:00:00+00,77,200,955,1100,961,1058,660,422,397,6,2879,2945,4363,174,0.04
71,2020/05/17 08:00:00+00,79,202,976,1115,972,1070,680,440,406,6,2936,2998,3408,110,0.032
72,2020/05/18 08:00:00+00,81,209,985,1134,982,1085,693,442,408,7,2978,3036,2609,80,0.031
73,2020/05/19 08:00:00+00,86,218,1011,1152,996,1106,708,448,410,5,3036,3092,4802,114,0.024
74,2020/05/20 08:00:00+00,91,227,1049,1196,1023,1130,725,451,420,3,3125,3177,4722,175,0.037
75,2020/05/21 08:00:00+00,94,239,1071,1220,1036,1149,740,458,424,3,3197,3226,4056,119,0.029
